ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Ongehuwd_13,Gehuwd_14,Gescheiden_15,Verweduwd_16,WestersTotaal_17,NietWestersTotaal_18,Marokko_19,NederlandseAntillenEnAruba_20,Suriname_21,Turkije_22,OverigNietWesters_23,GeboorteTotaal_24,GeboorteRelatief_25,SterfteTotaal_26,SterfteRelatief_27,HuishoudensTotaal_28,Eenpersoonshuishoudens_29,HuishoudensZonderKinderen_30,HuishoudensMetKinderen_31,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,PercentageMeergezinswoning_37,PercentageBewoond_38,PercentageOnbewoond_39,Koopwoningen_40,HuurwoningenTotaal_41,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,EigendomOnbekend_44,BouwjaarVoor2000_45,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,Appartement_48,Tussenwoning_49,Hoekwoning_50,TweeOnderEenKapWoning_51,VrijstaandeWoning_52,Huurwoning_53,EigenWoning_54,GemiddeldAardgasverbruikTotaal_55,Appartement_56,Tussenwoning_57,Hoekwoning_58,TweeOnderEenKapWoning_59,VrijstaandeWoning_60,Huurwoning_61,EigenWoning_62,PercentageWoningenMetStadsverwarming_63,AantalInkomensontvangers_64,GemiddeldInkomenPerInkomensontvanger_65,GemiddeldInkomenPerInwoner_66,k_40PersonenMetLaagsteInkomen_67,k_20PersonenMetHoogsteInkomen_68,Actieven1575Jaar_69,k_40HuishoudensMetLaagsteInkomen_70,k_20HuishoudensMetHoogsteInkomen_71,HuishoudensMetEenLaagInkomen_72,HuishOnderOfRondSociaalMinimum_73,PersonenPerSoortUitkeringBijstand_74,PersonenPerSoortUitkeringAO_75,PersonenPerSoortUitkeringWW_76,PersonenPerSoortUitkeringAOW_77,BedrijfsvestigingenTotaal_78,ALandbouwBosbouwEnVisserij_79,BFNijverheidEnEnergie_80,GIHandelEnHoreca_81,HJVervoerInformatieEnCommunicatie_82,KLFinancieleDienstenOnroerendGoed_83,MNZakelijkeDienstverlening_84,RUCultuurRecreatieOverigeDiensten_85,PersonenautoSTotaal_86,PersonenautoSJongerDan6Jaar_87,PersonenautoS6JaarEnOuder_88,PersonenautoSBrandstofBenzine_89,PersonenautoSOverigeBrandstof_90,PersonenautoSPerHuishouden_91,PersonenautoSNaarOppervlakte_92,Motorfietsen_93,AfstandTotHuisartsenpraktijk_94,AfstandTotGroteSupermarkt_95,AfstandTotKinderdagverblijf_96,AfstandTotSchool_97,ScholenBinnen3Km_98,OppervlakteTotaal_99,OppervlakteLand_100,OppervlakteWater_101,MeestVoorkomendePostcode_102,Dekkingspercentage_103,MateVanStedelijkheid_104,Omgevingsadressendichtheid_105,TotaalDiefstalUitWoningSchuurED_106,VernielingMisdrijfTegenOpenbareOrde_107,GeweldsEnSeksueleMisdrijven_108
12322,BU05990321,Rotterdam                               ,Buurt     ,BU05990321,1,7025,3595,3430,1285,1170,2020,1820,730,4130,2015,705,180,710,4925,1275,195,775,1440,1240,85,12,25,4,3350,1630,535,1195,2.1,20598,3203,110,8,92,95,5,17,82,64,18,1,86,14,2150,2080,3050,2430,       .,       .,2040,2660,990,970,1110,1460,       .,       .,970,1040,       .,5300,21.2,16.1,59.5,7.9,43.6,67.8,7.2,27.6,25.2,870,410,150,680,410,10,60,90,35,20,115,80,1530,250,1280,1245,285,0.5,4482,80,0.4,0.3,0.2,0.2,27.8,34,34,0,3025,1,1,5349,7,7,9
12323,BU05990322,Rotterdam                               ,Buurt     ,BU05990322,1,7130,3625,3500,1230,1115,2295,1655,835,4320,1765,810,240,930,4680,1255,210,735,1235,1240,80,11,50,7,3665,1965,635,1075,1.9,19350,3420,98,1,99,94,6,12,85,61,24,3,91,9,2010,2000,2960,       .,       .,       .,1970,2340,960,960,1370,       .,       .,       .,950,1060,       .,5400,20.8,16.1,60.8,7.1,45.4,71.1,5,26.9,27.3,840,400,160,780,625,5,90,140,70,25,170,130,1590,185,1405,1255,340,0.4,4318,45,0.3,0.4,0.2,0.2,30,40,37,3,3026,1,1,6246,6,9,9
12324,BU05990323,Rotterdam                               ,Buurt     ,BU05990323,1,10190,5130,5055,2070,1755,3290,2330,750,6135,2895,975,190,955,7325,1920,330,1150,2025,1890,150,14,30,3,4525,1955,785,1795,2.2,16926,4219,108,3,97,95,5,28,71,60,11,0,88,12,2170,2130,3070,2020,       .,       .,2050,2430,1010,1000,1370,1490,       .,       .,1030,970,       .,7500,22.8,17,54.6,10.2,51,57.5,8.5,20.3,18.8,960,450,250,710,540,10,70,100,80,20,155,115,2530,445,2080,2010,520,0.6,4198,100,0.3,0.4,0.2,0.3,29.2,65,60,5,3027,1,1,4681,5,8,11
12325,BU05990324,Rotterdam                               ,Buurt     ,BU05990324,1,19465,9910,9555,3365,3415,6450,4505,1735,12580,4780,1740,375,2360,10885,2850,550,1835,2580,3075,215,11,100,5,9730,4940,1850,2945,2,15718,8436,139,3,97,95,5,26,72,47,25,1,91,9,2290,2220,3270,3040,       .,       .,2080,2680,1060,1030,1650,1970,       .,       .,1000,1160,       .,14800,25,19.4,53.8,13.6,51.8,61.6,10.3,21.6,20.1,1750,760,410,1630,1820,5,175,290,180,75,655,435,4610,820,3790,3715,895,0.5,3721,230,0.3,0.3,0.3,0.3,36.1,124,124,0,3022,5,1,6622,3,5,7
12326,BU05990325,Rotterdam                               ,Buurt     ,BU05990325,1,12030,6090,5935,1705,2115,4510,2725,975,8190,2590,1035,220,1900,5165,805,295,1070,1020,1970,135,11,45,3,6615,3795,1335,1500,1.8,17679,5571,154,6,94,93,7,33,65,34,30,2,96,4,2280,2170,3820,4030,       .,       .,2080,2570,1080,1010,2040,2250,       .,       .,1000,1180,       .,9400,29.6,24.1,46.7,19.2,59.1,58.8,12.7,16.5,16.3,800,410,220,920,1430,5,105,270,135,65,495,350,2875,540,2335,2385,495,0.4,4226,155,0.3,0.3,0.2,0.4,40.2,68,68,0,3021,1,1,6756,4,5,10
12327,BU05990327,Rotterdam                               ,Buurt     ,BU05990327,1,7125,3745,3375,1100,960,2785,1505,775,4465,1635,830,205,1710,3100,390,230,710,545,1215,85,12,45,6,4020,2235,820,975,1.8,8516,3807,85,1,99,94,6,41,58,20,39,0,98,2,1960,1950,2670,2480,       .,       .,1850,2100,900,900,1220,940,       .,       .,870,940,       .,5600,24,19.2,45.5,8.5,60.5,62.7,4.1,14.7,14.4,430,250,230,740,380,15,110,55,45,15,75,65,2105,315,1785,1800,300,0.5,2513,115,0.4,0.3,0.3,0.4,28.5,84,84,0,3028,1,1,3592,5,9,8
12328,BU05990328,Rotterdam                               ,Buurt     ,BU05990328,1,590,280,305,110,70,145,185,80,290,230,50,25,45,320,85,5,55,105,65,0,6,0,6,245,85,45,125,2.4,13628,236,146,96,4,100,0,30,70,70,0,0,100,0,2300,1700,2400,2170,       .,       .,2030,2950,1150,1010,1100,1300,       .,       .,1150,1160,       .,400,21.8,16.4,55.6,8.7,45.5,56.5,6.1,17.2,18,50,40,10,70,15,       .,       .,       .,       .,       .,       .,       .,155,30,125,135,25,0.6,3626,5,0.9,0.7,0.4,0.5,25.9,4,4,0,3028,1,1,3633,3,2,3
12329,BU05990329,Rotterdam                               ,Buurt     ,BU05990329,1,5275,2610,2660,1015,465,1825,1325,650,2925,1595,615,150,590,2855,690,200,570,555,835,70,13,15,3,2590,1070,655,870,2,8571,2595,172,1,99,96,4,41,59,50,9,0,61,39,2300,2230,3080,       .,       .,       .,2100,2470,160,170,       .,       .,       .,       .,260,       .,81.4,4000,34.6,26.5,41.3,25.1,58.2,44.9,19,16,15.5,420,200,110,600,595,0,40,85,110,60,230,70,1745,480,1270,1410,335,0.7,2836,85,0.4,0.3,0.5,0.5,23.1,122,62,61,3029,5,1,3167,2,6,8
12330,WK059904  ,Rotterdam                               ,Wijk      ,WK059904  ,1,17620,8815,8805,3335,1665,5120,4530,2970,8960,6225,1565,875,1720,4850,1140,325,1135,920,1325,260,14,180,10,8225,3385,1960,2885,2.1,1166,8175,170,38,62,95,5,48,50,40,10,2,88,12,2600,2060,3070,3240,4190,4630,2000,3120,1130,880,1260,1460,1920,2470,890,1320,       .,13300,31.8,24.6,40.8,20.7,59.7,46.9,18.3,12.1,11.9,870,680,370,2820,1545,20,260,325,170,145,430,190,7190,2025,5160,5980,1205,0.9,476,570,1,0.8,0.6,0.8,9,1580,1511,70,         .,       .,2,1679,6,7,6
12331,BU05990451,Rotterdam                               ,Buurt     ,BU05990451,1,7700,3775,3925,1385,785,2260,1805,1470,3910,2465,865,470,740,3360,885,185,710,730,845,90,12,95,12,3875,1910,770,1200,2,6179,3903,133,17,83,95,5,31,67,60,7,3,90,10,2190,2000,2960,3020,4400,5310,1930,2760,890,780,1200,1410,2530,3840,780,1160,       .,5900,26.8,20.9,47.9,13.9,52.9,59.2,9.9,16.7,17.2,560,370,170,1400,415,5,70,115,40,35,95,60,2925,815,2110,2340,585,0.8,2346,195,0.7,0.4,0.4,0.4,13.8,130,125,5,3042,1,2,1894,4,7,7
