pickup_datetime,passenger_count,pk_id,dp_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,payment_type,total_amount,tip_amount,trip_distance
2011-02-01 00:06:23,4,3872,2318,-73.97152699999998,40.794559,-73.94848399999998,40.824002,8.5,CRD,10.92,1.42,2.3
2011-02-01 00:06:23,1,1618,4374,-74.00884,40.717814000000004,-73.99579399999999,40.7219,6.5,CSH,7.5,,1.3
2011-02-01 00:06:24,1,3208,2755,-74.005303,40.727856,-73.97909699999998,40.728026,8.099999999999998,CRD,11.0,1.9,1.8
2011-02-01 00:06:24,1,2906,1708,-73.974653,40.755635999999996,-73.980613,40.742495,6.1,CRD,8.16,1.06,1.1
2011-02-01 00:06:24,1,2290,1666,-73.974846,40.787594,-73.950321,40.780174,7.7,CSH,8.699999999999998,,1.7
2011-02-01 00:06:31,1,396,2804,-73.95505,40.76555,-73.96776,40.762991,4.9,CSH,5.9,,0.9
2011-02-01 00:06:32,1,1464,1923,-73.997646,40.719015,-73.95702099999998,40.774944,14.9,CRD,18.28,2.38,4.5
2011-02-01 00:06:35,1,2800,3987,-73.97176299999998,40.757670000000005,-73.99158699999998,40.727241,8.9,CRD,11.88,1.98,2.4
2011-02-01 00:06:36,2,1310,2361,-73.98330799999998,40.726725,-73.98292499999998,40.735225,4.5,CSH,5.5,,0.8
2011-02-01 00:06:36,1,2265,413,-74.00780999999999,40.705357,-73.947117,40.776849,18.1,CRD,21.1,2.0,6.7
2011-02-01 00:06:37,1,2500,3179,-73.975025,40.753514,-73.995249,40.760144,6.1,CRD,8.16,1.06,1.3
2011-02-01 00:06:40,1,1827,928,-73.99293799999998,40.72432,-73.977372,40.788726000000004,15.3,CRD,18.3,2.0,5.7
2011-02-01 00:06:41,1,2515,4258,-74.003454,40.708144,-74.006015,40.735384,10.5,CSH,11.5,,3.3
2011-02-01 00:06:44,2,2103,457,-73.984882,40.759046000000005,-73.986824,40.755556,3.3,CSH,4.3,,0.2
2011-02-01 00:06:47,1,144,2258,-73.97587799999998,40.786689,-73.95520999999998,40.823454,11.3,CSH,12.3,,3.5
2011-02-01 00:06:48,1,1293,2568,-73.969988,40.752125,-73.98713199999999,40.766225,8.5,CSH,9.5,,1.9
2011-02-01 00:06:48,1,3750,2799,-73.972972,40.759271000000005,-73.97240499999998,40.756529,3.7,CRD,6.7,2.0,0.4
2011-02-01 00:06:49,2,1495,1925,-73.993522,40.752328000000006,-73.95220399999998,40.773183,10.5,CRD,13.8,2.3,3.5
2011-02-01 00:06:49,1,4005,2563,-73.99281899999998,40.723932,-73.99164,40.758876,11.3,CRD,15.37,3.07,3.4
2011-02-01 00:06:49,1,1147,815,-73.96507199999999,40.759488,-73.98666299999998,40.751432,7.3,CRD,9.3,1.0,1.8
2011-02-01 00:06:50,1,2101,4397,-73.98626199999998,40.757123,-73.961607,40.765077000000005,10.9,CSH,11.9,,2.4
2011-02-01 00:06:51,1,2933,2373,-74.007295,40.743468,-73.97343999999998,40.748743,8.5,CSH,9.5,,2.5
2011-02-01 00:06:51,1,4497,2533,-73.969312,40.785431,-73.950439,40.783879999999996,7.7,CSH,8.699999999999998,,2.0
