year,month,type,link
2016,9,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-09.csv
2016,10,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-10.csv
2016,10,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-10.csv
2016,10,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-10.csv
2016,11,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-11.csv
2016,11,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-11.csv
2016,11,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-11.csv
2016,12,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2016-12.csv
2016,12,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2016-12.csv
2016,12,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2016-12.csv
2015,1,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-01.csv
2015,1,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-01.csv
2015,1,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-01.csv
2015,2,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-02.csv
2015,2,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-02.csv
2015,2,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-02.csv
2015,3,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-03.csv
2015,3,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-03.csv
2015,3,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-03.csv
2015,4,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-04.csv
2015,4,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-04.csv
2015,4,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-04.csv
2015,5,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-05.csv
2015,5,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-05.csv
2015,5,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-05.csv
2015,6,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-06.csv
2015,6,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-06.csv
2015,6,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-06.csv
2015,7,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-07.csv
2015,7,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-07.csv
2015,7,fhv,https://s3.amazonaws.com/nyc-tlc/trip+data/fhv_tripdata_2015-07.csv
2015,8,yellow,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2015-08.csv
2015,8,green,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2015-08.csv
