id,node_lon,node_lat,center_id,center_lon,center_lat
4116,-74.0056926,40.7121302,4523,-74.0008317,40.7130749
4117,-74.0088308,40.7060194,3392,-74.0095878,40.7020107
4118,-73.9845713,40.785946,422,-73.9816869,40.7836714
4119,-73.9859388,40.7712531,3227,-73.988561,40.7691175
4120,-73.9521033,40.7988732,4082,-73.9542998,40.8006169
4121,-73.9511825,40.8001255,4082,-73.9542998,40.8006169
4122,-73.9460569,40.8071315,3676,-73.9370658,40.8075561
4123,-73.946526,40.8065066,3676,-73.9370658,40.8075561
4124,-73.9455708,40.8078108,3676,-73.9370658,40.8075561
4125,-73.9507232,40.8007522,4082,-73.9542998,40.8006169
4126,-73.9375772,40.8184876,273,-73.934348,40.8187778
4127,-73.9423303,40.8122349,3676,-73.9370658,40.8075561
4128,-73.9366544,40.8197562,273,-73.934348,40.8187778
4129,-73.9437153,40.8103559,3676,-73.9370658,40.8075561
4130,-73.9483547,40.8039919,4082,-73.9542998,40.8006169
4131,-73.9389216,40.8166573,273,-73.934348,40.8187778
4132,-73.9418859,40.8128505,3676,-73.9370658,40.8075561
4133,-73.9380263,40.8178749,1281,-73.945613,40.820255
4134,-73.9502887,40.8013588,4082,-73.9542998,40.8006169
4135,-73.9414254,40.8134711,273,-73.934348,40.8187778
4136,-73.9428003,40.8116007,3676,-73.9370658,40.8075561
4137,-73.9432528,40.8109749,3676,-73.9370658,40.8075561
4138,-73.9384793,40.8172567,1281,-73.945613,40.820255
4139,-73.9492747,40.8027375,4082,-73.9542998,40.8006169
4140,-73.9399886,40.8154373,273,-73.934348,40.8187778
